,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,ProdutoId,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
127,15.0,No venc.,BANCO AGIBANK S.A.,CDB POS,1440.0,1000.0,a0W3u00000CWPClEAP,3.0,129.0,0.0,CDI,0.1333,0.051,0
128,20.0,No venc.,BANCO PINE S.A.,LCA POS 1,300.0,1000.0,a0W3u00000CWPHgEAP,2.0,104.0,0.0,CDI,0.1232,0.2278,4
129,20.0,No venc.,OMNI BANCO S.A,CDB POS,181.0,10000.0,a0W3u00000CWPMHEA5,2.0,109.0,0.0,CDI,0.1186,0.0296,1
130,17.5,No venc.,OMNI BANCO S.A,CDB POS,361.0,10000.0,a0W3u00000CWPMMEA5,2.0,121.0,0.0,CDI,0.1186,0.0296,1
131,15.0,No venc.,OMNI BANCO S.A,CDB POS,721.0,10000.0,a0W3u00000CWPMREA5,2.0,124.0,0.0,CDI,0.1186,0.0296,1
132,15.0,No venc.,OMNI BANCO S.A,CDB POS,1081.0,10000.0,a0W3u00000CWPMWEA5,2.0,126.0,0.0,CDI,0.1186,0.0296,1
133,15.0,No venc.,OMNI BANCO S.A,CDB POS,1440.0,10000.0,a0W3u00000CWPMbEAP,3.0,128.0,0.0,CDI,0.1186,0.0296,0
134,15.0,No venc.,OMNI BANCO S.A,CDB POS,1802.0,10000.0,a0W3u00000CWPMgEAP,3.0,128.0,0.0,CDI,0.1186,0.0296,0
135,17.5,No venc.,BANCO RODOBENS S.A.,CDB POS,361.0,10000.0,a0W3u00000CWPcUEAX,1.0,117.0,0.0,CDI,0.1587,0.3428,1
136,15.0,No venc.,BANCO RODOBENS S.A.,CDB POS,721.0,10000.0,a0W3u00000CWPcZEAX,2.0,119.0,0.0,CDI,0.1587,0.3428,1
137,15.0,No venc.,BANCO RODOBENS S.A.,CDB POS,1081.0,10000.0,a0W3u00000CWPceEAH,2.0,120.0,0.0,CDI,0.1587,0.3428,1
138,15.0,No venc.,BANCO RODOBENS S.A.,CDB POS,1440.0,10000.0,a0W3u00000CWPcjEAH,3.0,121.0,0.0,CDI,0.1587,0.3428,0
139,15.0,No venc.,BANCO RODOBENS S.A.,CDB POS,1802.0,10000.0,a0W3u00000CWPcoEAH,3.0,122.0,0.0,CDI,0.1587,0.3428,0
140,17.5,No venc.,BANCO RENNER S.A,CDB POS 1,361.0,10000.0,a0W3u00000CWPt1EAH,3.0,112.0,0.0,CDI,0.1226,0.0651,1
141,15.0,No venc.,BANCO RENNER S.A,CDB POS 1,721.0,10000.0,a0W3u00000CWPt6EAH,4.0,121.0,0.0,CDI,0.1226,0.0651,0
142,15.0,No venc.,BANCO RENNER S.A,CDB POS 1,1081.0,10000.0,a0W3u00000CWPtBEAX,4.0,124.0,0.0,CDI,0.1226,0.0651,0
143,15.0,No venc.,BANCO RENNER S.A,CDB POS 1,1440.0,10000.0,a0W3u00000CWPtGEAX,4.0,125.0,0.0,CDI,0.1226,0.0651,0
144,15.0,No venc.,BANCO RENNER S.A,CDB POS 1,1802.0,10000.0,a0W3u00000CWPtLEAX,5.0,125.0,0.0,CDI,0.1226,0.0651,3
145,15.0,No venc.,BANCO BMG S.A.,CDB POS 1,1440.0,1000.0,a0W3u00000CWPtuEAH,4.0,100.0,1.22,,0.138,0.1906,3
146,22.5,No venc.,BANCO ABC BRASIL,LCA POS,90.0,10000.0,a0W3u00000CWPuYEAX,1.0,97.0,0.0,CDI,0.1741,0.0053,1
147,22.5,No venc.,BANCO ABC BRASIL,LCA POS,122.0,10000.0,a0W3u00000CWPudEAH,1.0,98.0,0.0,CDI,0.1741,0.0053,1
148,22.5,No venc.,BANCO ABC BRASIL,LCA POS,180.0,10000.0,a0W3u00000CWPuiEAH,1.0,100.0,0.0,CDI,0.1741,0.0053,1
149,20.0,No venc.,BANCO ABC BRASIL,LCA POS,360.0,10000.0,a0W3u00000CWPunEAH,1.0,100.0,0.0,CDI,0.1741,0.0053,1
150,17.5,No venc.,BANCO ABC BRASIL,LCA POS,542.0,10000.0,a0W3u00000CWPusEAH,2.0,100.0,0.0,CDI,0.1741,0.0053,1
151,17.5,No venc.,BANCO ABC BRASIL,LCA POS,720.0,10000.0,a0W3u00000CWPuxEAH,2.0,101.0,0.0,CDI,0.1741,0.0053,1
152,15.0,No venc.,BANCO ABC BRASIL,LCA POS,1081.0,10000.0,a0W3u00000CWPv2EAH,2.0,102.0,0.0,CDI,0.1741,0.0053,1
153,15.0,No venc.,BANCO ABC BRASIL,LCA POS,1460.0,10000.0,a0W3u00000CWPvCEAX,2.0,102.5,0.0,CDI,0.1741,0.0053,0
154,15.0,No venc.,BANCO PINE S.A.,CDB PRE,1440.0,5000.0,a0W3u00000CWQCIEA5,4.0,0.0,7.37,Pré fixado,0.1232,0.2278,3
155,15.0,No venc.,BANCO PINE S.A.,CDB POS,1827.0,5000.0,a0W3u00000CWQCXEA5,5.0,100.0,3.85,IPCA,0.1232,0.2278,3
156,15.0,No venc.,BANCO BMG S.A.,CDB POS 1,1802.0,1000.0,a0W3u00000CWQJGEA5,4.0,100.0,1.33,,0.138,0.1906,3
157,15.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,1081.0,1000.0,a0W3u00000CWQJaEAP,2.0,98.0,0.0,CDI,0.1457,0.4956,4
